title,lead,byline,link
NATO urges faster peace talks,NATO Secretary-General Jens Stoltenberg on Thursday urged the Afghan government and the Taliban to step up the pace of peace talks amid doubts over whether the ...,"by
Compiled by Democrat-Gazette Staff From Wire Reports -
February 19, 2021",https://arkansasonline.com/news/2021/feb/19/nato-urges-faster-peace-talks/
Migrants flooding Mexican shelters,"In the first Mexican shelter reached by migrants after trekking through the Guatemalan jungle, some 150 migrants are sleeping in its dormitories and another 150...","by
ISABEL MATEOS AND MARIA VERZA THE ASSOCIATED PRESS -
February 19, 2021",https://arkansasonline.com/news/2021/feb/19/migrants-flooding-mexican-shelters/
"New hate crime bill in the works, state chamber leader tells NWA Council","Supporters of hate crime legislation are revising the bill to allay concerns of opponents in the Legislature, the president of the Arkansas State Chamber of Com...","by
Doug Thompson -
February 19, 2021",https://arkansasonline.com/news/2021/feb/19/new-hate-crime-bill-in-the-works-state-chamber/?news-politics
"Leaving GOP, Hendren says, cites D.C. riot","Sen. Jim Hendren of Sulphur Springs announced Thursday that he is leaving the Republican Party to be an independent, saying the ""final straw"" was the Jan. 6 rio...","by
Michael R. Wickline -
February 19, 2021",https://arkansasonline.com/news/2021/feb/19/leaving-gop-hendren-says-cites-dc-riot/?news-politics
Filing pans Medicaid work-rule OK as 'arbitrary',"The U.S. Supreme Court should strike down Arkansas' Medicaid work requirements, lawyers challenging the provisions said Thursday.","by
Frank E. Lockwood -
February 19, 2021",https://arkansasonline.com/news/2021/feb/19/filing-pans-medicaid-work-rule-ok-as-arbitrary/?news-politics
"Hendren to leave GOP, become independent",Sen. Jim Hendren of Sulphur Springs announced Thursday morning that he’s leaving the Republican Party to become an independent.,"by
Michael R. Wickline -
February 18, 2021",https://arkansasonline.com/news/2021/feb/18/hendren-leave-gop-become-independent/?news-politics
Conway man faces 7 counts in flagpole assault at Capitol,A federal grand jury in the District of Columbia has indicted a Conway man on seven charges -- including assault -- after authorities say he was captured on vid...,"by
Bill Bowden -
February 18, 2021",https://arkansasonline.com/news/2021/feb/18/conway-man-faces-7-counts-in-flagpole-assault-at/?news-politics
Nevadan pleads guilty to voter fraud,"A Nevada man pleaded guilty Wednesday in a rare voter fraud case dating to the 2016 presidential election, state Attorney General Aaron Ford said.","by
The Associated Press -
February 18, 2021",https://arkansasonline.com/news/2021/feb/18/nevadan-pleads-guilty-to-voter-fraud/?news-politics
State paving way for electric cars,Arkansas residents and visitors will soon see an increase in electric vehicle charging stations as public- and private-sector initiatives promise to expand the ...,"by
Ashton Eley -
February 16, 2021",https://arkansasonline.com/news/2021/feb/16/state-paving-way-for-electric-cars/?news-politics
"Boozman, Cotton vote to acquit",U.S. Sens. John Boozman and Tom Cotton voted Saturday to acquit former President Donald Trump of inciting insurrection.,"by
Frank E. Lockwood -
February 14, 2021",https://arkansasonline.com/news/2021/feb/14/boozman-cotton-vote-to-acquit/?news-politics
"Reining in governor, tort reform among proposed changes","The filing of more than three dozen proposed amendments to the Arkansas Constitution through last week kicked off a period of political matchmaking, as lawmaker...","by
John Moritz -
February 14, 2021",https://arkansasonline.com/news/2021/feb/14/reining-in-governor-tort-reform-among-proposed/?news-politics
Amendments filed,The following proposed constitutional amendments were filed by last week’s deadline in the Legislature. Up to three may be referred to voters for the 2022 elect...,"
February 14, 2021",https://arkansasonline.com/news/2021/feb/14/amendments-filed/?news-politics
Legislative calendar,"The 93rd General Assembly was scheduled to resume meeting Monday, but the weather forecast forced a delay until at least Wednesday.","
February 14, 2021",https://arkansasonline.com/news/2021/feb/14/legislative-calendar/?news-politics
"In suit reply, attorney general denies abusing office","A month-old lawsuit accusing Arkansas Attorney General Leslie Rutledge of using her office to pursue her own interests has no evidence to support it, has no fou...","by
John Lynch -
February 13, 2021",https://arkansasonline.com/news/2021/feb/13/in-suit-reply-ag-denies-abusing-office/?news-politics
Virus aid topic at Biden meeting,"Gov. Asa Hutchinson talked about covid-19 recovery efforts with President Joe Biden and Vice President Kamala Harris at the White House on Friday, joining a bip...","by
Frank E. Lockwood -
February 13, 2021",https://arkansasonline.com/news/2021/feb/13/virus-aid-topic-at-biden-meeting/?news-politics
"Unlike Arkansas' senators, Louisianian wrestling on Trump","When the U.S. Senate reaches a verdict on former President Donald Trump's impeachment, there's little doubt about how the two Arkansans will vote: Republican Se...","by
Frank E. Lockwood -
February 13, 2021",https://arkansasonline.com/news/2021/feb/13/unlike-arkansas-senators-louisianian-wrestling-on/?news-politics
Decision disputes no-boycott state edict,"Requiring contractors doing business with Arkansas to sign a pledge saying they won't boycott Israel violates the First Amendment right to free speech, accordin...","by
Bill Bowden -
February 13, 2021",https://arkansasonline.com/news/2021/feb/13/decision-disputes-no-boycott-state-edict/?news-politics
